Type,Name,Difference,Url1,Url2,Value1,Value2
"View","[incident] Quick Find Cases","Different Name","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=d95d47ef-4a1d-479e-9065-b9cea0089048","http://qa2012/WorkflowScheduler/tools/vieweditor/viewManager.aspx?id=d95d47ef-4a1d-479e-9065-b9cea0089048","ick Find Cases","ick Find Active Cases"
"View","[calendarrule] Holiday Associated View","Only In VM TEST","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=44be8643-a332-42e5-b3a3-4184adb60671","","Holiday Associated View",""
"View","[convertruleitem] All Case Creation Rule Items","Only In VM TEST","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=02b21ce4-7f77-4451-bfb2-db300236c56c","","All Case Creation Rule Items",""
"View","[routingrule] Routing Rule Set Lookup View","Only In VM TEST","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=ec34759d-6b09-40dd-a5a4-1eda99f5a372","","Routing Rule Set Lookup View",""
"View","[routingrule] Quick Find Active RoutingRuleSet","Only In VM TEST","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=1cd57bf3-959a-4ce4-8578-754251e96257","","Quick Find Active RoutingRuleSet",""
"View","[routingrule] Routing Rule Set Advanced Find View","Only In VM TEST","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=974faed1-97a8-4068-bcda-aefafec64870","","Routing Rule Set Advanced Find View",""
"View","[routingrule] All Routing Rule Sets","Only In VM TEST","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=73e975c7-8fce-48a4-853d-c879f25f81b4","","All Routing Rule Sets",""
"View","[calendar] Quick Find holiday Schedule","Only In VM TEST","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=5037144d-3f7c-4b90-8e05-0f6fad0c6e99","","Quick Find holiday Schedule",""
"View","[calendar] Holiday Schedule Calendar Lookup View","Only In VM TEST","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=349efd53-c081-487a-9a9f-680d0b36c36b","","Holiday Schedule Calendar Lookup View",""
"View","[calendar] All Holiday Schedules","Only In VM TEST","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=06453a1d-9288-4f0e-9351-819d619ecb5f","","All Holiday Schedules",""
"View","[calendar] Customer Service Calendar Lookup View","Only In VM TEST","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=b1127604-db55-4ad4-aacf-90d870390297","","Customer Service Calendar Lookup View",""
"View","[calendar] All Customer Service Calendars","Only In VM TEST","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=f4d446e0-3749-4ba4-9c85-eab861eafdfc","","All Customer Service Calendars",""
"View","[calendar] Quick Find Calendar","Different Fetch XML","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=a3cc2d8e-9768-dd11-b1b0-00155d869f00","http://qa2012/WorkflowScheduler/tools/vieweditor/viewManager.aspx?id=a3cc2d8e-9768-dd11-b1b0-00155d869f00","name"" /><attribute name=""type"" /><order ","name"" /><order attribute=""name"" descendi"
